iter	Logloss
0	0.6928719339
1	0.6925747418
2	0.6923023116
3	0.6920330856
4	0.6917398613
5	0.69146814
6	0.6909049864
7	0.6884390848
8	0.685867608
9	0.6854923775
10	0.6852255837
11	0.6849614152
12	0.6846015104
13	0.6842425018
14	0.6839756455
15	0.6837173015
16	0.6834525568
17	0.6831032763
18	0.68284858
19	0.6822917653
20	0.6820389252
21	0.681789093
22	0.6812365668
23	0.6809890389
24	0.6807298773
25	0.6804859251
26	0.6802426214
27	0.6799994459
28	0.6794558797
29	0.6792167904
30	0.6788974789
31	0.6786610236
32	0.6762721456
33	0.6759356994
34	0.6757033405
35	0.6754537682
36	0.6751442963
37	0.6748870452
38	0.6746603173
39	0.6744353829
40	0.6720582626
41	0.6718149313
42	0.6690531269
43	0.66882179
44	0.6686025506
45	0.6683844
46	0.6681678488
47	0.6676562099
48	0.6674424101
49	0.6669579773
50	0.6667461624
51	0.6665361388
52	0.666232646
53	0.6660246073
54	0.6658168256
55	0.6656108984
56	0.6629313952
57	0.6627282854
58	0.6625265188
59	0.6620322338
60	0.661804552
61	0.6616046419
62	0.6613980219
63	0.661192418
64	0.6607057503
65	0.6604206643
66	0.6599404598
67	0.6597381837
68	0.6595369311
69	0.6593473894
70	0.6591582952
71	0.6589678563
72	0.6584958445
73	0.6583100151
74	0.6581055167
75	0.6579215946
76	0.6577388303
77	0.6575574798
78	0.6549064572
79	0.6547274114
80	0.6524484252
81	0.6522711715
82	0.6520943645
83	0.6518151055
84	0.6516409239
85	0.6513816929
86	0.6512089828
87	0.6510381288
88	0.6487623211
89	0.6485932584
90	0.6484245173
91	0.6461834955
92	0.6459992039
93	0.6458334048
94	0.643606017
95	0.6434426508
96	0.6411050336
97	0.6406616255
98	0.6405007556
99	0.640340909
100	0.6399144056
101	0.6373332884
102	0.6371763855
103	0.6370082853
104	0.6367564841
105	0.6366027174
106	0.6364406985
107	0.636287572
108	0.6361359175
109	0.6359847758
110	0.6358340168
111	0.6356850506
112	0.635447392
113	0.6353000892
114	0.6351520193
115	0.632974492
116	0.6328296215
117	0.6326851998
118	0.6325415448
119	0.63034812
120	0.6302051623
121	0.6300459612
122	0.6299051866
123	0.6294905188
124	0.6293517923
125	0.6289492839
126	0.628547161
127	0.6284106102
128	0.6282532688
129	0.6278749301
130	0.6277406196
131	0.6275225729
132	0.6273906937
133	0.62725888
134	0.627126088
135	0.6269832075
136	0.6268537612
137	0.6267250817
138	0.6265832339
139	0.6244443
140	0.622315417
141	0.6221896828
142	0.6217956228
143	0.6216707201
144	0.6215471614
145	0.6214238589
146	0.6213016443
147	0.6211766775
148	0.6210435238
149	0.6209221934
150	0.6208029223
151	0.6206837802
152	0.620517925
153	0.6204003822
154	0.6202832242
155	0.6201662576
156	0.6200508277
157	0.6199353965
158	0.6198209972
159	0.6196972608
160	0.6193258435
161	0.6192058727
162	0.6190940265
163	0.6189705265
164	0.6187812448
165	0.6186715108
166	0.6185535891
167	0.6164328704
168	0.616239177
169	0.6161220851
170	0.6160153576
171	0.615901147
172	0.6138098314
173	0.6137046405
174	0.6133343888
175	0.6132291341
176	0.6108119205
177	0.6083744288
178	0.6080114089
179	0.6076979853
